iter	Passed	Remaining
0	3	3031
1	5	2899
2	8	2887
3	11	2919
4	14	2932
5	17	2906
6	20	2914
7	23	2940
8	26	2945
9	29	2942
10	32	2942
11	35	2938
12	38	2930
13	41	2918
14	44	2907
15	47	2896
16	50	2893
17	53	2896
18	56	2891
19	58	2888
20	61	2887
21	64	2882
22	67	2877
23	70	2877
24	73	2873
25	77	2886
26	79	2879
27	82	2868
28	85	2858
29	88	2857
30	91	2863
31	94	2856
32	97	2849
33	100	2845
34	102	2837
35	106	2854
36	109	2853
37	112	2853
38	115	2849
39	118	2841
40	121	2841
41	124	2834
42	127	2828
43	130	2826
44	133	2822
45	136	2828
46	139	2823
47	142	2824
48	144	2802
49	147	2800
50	150	2794
51	153	2792
52	156	2787
53	159	2785
54	161	2782
55	164	2779
56	167	2775
57	170	2769
58	173	2766
59	176	2766
60	179	2764
61	182	2764
62	186	2771
63	190	2779
64	193	2776
65	196	2785
66	201	2809
67	205	2813
68	208	2812
69	211	2810
70	215	2818
71	218	2812
72	221	2807
73	223	2800
74	227	2810
75	230	2807
76	232	2791
77	235	2787
78	238	2783
79	243	2799
80	246	2791
81	248	2786
82	251	2780
83	254	2775
84	257	2775
85	260	2772
86	263	2768
87	266	2763
88	269	2757
89	272	2753
90	275	2750
91	278	2745
92	281	2740
93	283	2736
94	286	2733
95	290	2738
96	293	2736
97	298	2745
98	301	2739
99	304	2737
100	307	2733
101	310	2732
102	313	2732
103	317	2731
104	319	2727
105	322	2722
106	325	2717
107	329	2718
108	331	2712
109	334	2708
110	337	2702
111	340	2698
112	343	2693
113	346	2689
114	348	2684
115	351	2679
116	354	2676
117	357	2673
118	360	2669
119	363	2664
120	366	2659
121	369	2656
122	371	2651
123	374	2645
124	377	2640
125	380	2636
126	382	2631
127	385	2628
128	388	2624
129	391	2621
130	394	2618
131	398	2619
132	401	2617
133	404	2612
134	407	2612
135	410	2610
136	413	2605
137	416	2603
138	419	2599
139	422	2595
140	426	2597
141	429	2594
142	432	2591
143	435	2585
144	438	2582
145	440	2578
146	443	2575
147	446	2571
148	449	2568
149	452	2564
150	455	2561
151	458	2558
152	461	2555
153	464	2552
154	467	2549
155	470	2545
156	473	2542
157	476	2538
158	479	2535
159	482	2532
160	485	2529
161	488	2527
162	491	2524
163	494	2521
164	497	2517
165	500	2514
166	503	2511
167	506	2508
168	509	2505
169	512	2501
170	515	2497
171	518	2494
172	521	2491
173	524	2487
174	527	2484
175	530	2481
176	533	2478
177	535	2474
178	538	2470
179	541	2466
180	544	2462
181	547	2459
182	549	2455
183	553	2452
184	556	2449
185	559	2447
186	562	2445
187	565	2442
188	568	2438
189	571	2434
190	573	2430
191	576	2427
192	580	2426
193	583	2423
194	586	2419
195	589	2417
196	593	2418
197	596	2415
198	599	2411
199	601	2407
200	605	2405
201	607	2401
202	610	2398
203	613	2395
204	616	2391
205	619	2388
206	622	2384
207	625	2381
208	628	2377
209	631	2374
210	633	2370
211	636	2366
212	640	2367
213	643	2364
214	646	2361
215	649	2357
216	652	2354
217	655	2351
218	658	2348
219	661	2344
220	664	2341
221	667	2337
222	669	2333
223	672	2330
224	675	2326
225	678	2323
226	681	2319
227	684	2316
228	687	2313
229	689	2309
230	693	2309
231	697	2309
232	704	2317
233	706	2312
234	709	2309
235	712	2306
236	715	2302
237	718	2299
238	721	2296
239	723	2292
240	726	2289
241	729	2286
242	732	2282
243	735	2279
244	738	2276
245	741	2272
246	744	2269
247	747	2266
248	750	2263
249	753	2259
250	756	2256
251	759	2252
252	761	2249
253	764	2246
254	767	2243
255	770	2239
256	773	2236
257	776	2233
258	779	2230
259	782	2227
260	785	2223
261	788	2220
262	791	2217
263	794	2213
264	797	2210
265	800	2210
266	803	2206
267	806	2202
268	809	2199
269	812	2195
270	814	2191
271	818	2190
272	822	2190
273	825	2187
274	828	2183
275	831	2180
276	833	2176
277	836	2173
278	839	2170
279	842	2167
280	845	2164
281	848	2160
282	851	2157
283	854	2154
284	857	2150
285	859	2146
286	862	2143
287	865	2139
